"YEAR","JURISDICTION","LOCATION","FINES","ARRESTS","CHARGES"
"2024","NSW","Inner Regional Australia",688,0,0
"2024","SA","Inner Regional Australia",1,0,0
"2024","SA","Inner Regional Australia",40,0,0
"2024","SA","Inner Regional Australia",138,0,0
"2024","SA","Inner Regional Australia",204,1,2
"2024","SA","Inner Regional Australia",93,0,0
"2024","SA","Inner Regional Australia",451,0,0
"2024","SA","Inner Regional Australia",363,0,3
"2024","SA","Inner Regional Australia",102,0,0
"2024","SA","Inner Regional Australia",929,0,0
"2024","SA","Inner Regional Australia",518,0,0
"2024","SA","Inner Regional Australia",41,0,0
"2024","SA","Inner Regional Australia",458,0,0
"2024","SA","Inner Regional Australia",161,0,0
"2024","SA","Inner Regional Australia",13,0,0
"2024","SA","Inner Regional Australia",49,0,0
"2024","SA","Inner Regional Australia",7,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",7,0,0
"2024","VIC","Inner Regional Australia",17,0,0
"2024","VIC","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",23,0,0
"2024","VIC","Inner Regional Australia",11,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",8,0,0
"2024","VIC","Inner Regional Australia",1,0,0
"2024","VIC","Inner Regional Australia",3,0,0
"2024","NSW","Inner Regional Australia",3,0,0
"2024","NSW","Inner Regional Australia",1405,0,9
"2024","NSW","Inner Regional Australia",1992,0,15
"2024","NSW","Inner Regional Australia",2136,0,2
"2024","NSW","Inner Regional Australia",520,0,1
"2024","SA","Inner Regional Australia",1,0,0
"2024","SA","Inner Regional Australia",44,0,0
"2024","SA","Inner Regional Australia",158,0,0
"2024","SA","Inner Regional Australia",217,0,0
"2024","SA","Inner Regional Australia",111,0,0
"2024","SA","Inner Regional Australia",414,0,0
"2024","SA","Inner Regional Australia",374,1,1
"2024","SA","Inner Regional Australia",101,0,0
"2024","SA","Inner Regional Australia",825,0,0
"2024","SA","Inner Regional Australia",496,0,2
"2024","SA","Inner Regional Australia",35,0,0
"2024","SA","Inner Regional Australia",374,0,0
"2024","SA","Inner Regional Australia",179,0,0
"2024","SA","Inner Regional Australia",11,0,0
"2024","SA","Inner Regional Australia",51,0,0
"2024","SA","Inner Regional Australia",5,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",8,0,0
"2024","VIC","Inner Regional Australia",10,0,0
"2024","VIC","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",9,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",5,0,0
"2024","VIC","Inner Regional Australia",8,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",1,0,0
"2024","NSW","Inner Regional Australia",9,0,1
"2024","NSW","Inner Regional Australia",1815,0,18
"2024","NSW","Inner Regional Australia",3010,0,14
"2024","NSW","Inner Regional Australia",2986,0,5
"2024","NSW","Inner Regional Australia",725,0,1
"2024","SA","Inner Regional Australia",2,0,0
"2024","SA","Inner Regional Australia",50,0,0
"2024","SA","Inner Regional Australia",114,0,0
"2024","SA","Inner Regional Australia",253,0,1
"2024","SA","Inner Regional Australia",113,0,0
"2024","SA","Inner Regional Australia",350,0,0
"2024","SA","Inner Regional Australia",532,2,4
"2024","SA","Inner Regional Australia",132,0,0
"2024","SA","Inner Regional Australia",620,0,0
"2024","SA","Inner Regional Australia",694,0,3
"2024","SA","Inner Regional Australia",33,0,0
"2024","SA","Inner Regional Australia",313,0,0
"2024","SA","Inner Regional Australia",191,0,1
"2024","SA","Inner Regional Australia",17,0,0
"2024","SA","Inner Regional Australia",43,0,0
"2024","SA","Inner Regional Australia",3,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",9,0,0
"2024","VIC","Inner Regional Australia",24,0,0
"2024","VIC","Inner Regional Australia",15,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",45,0,0
"2024","VIC","Inner Regional Australia",5,0,0
"2024","VIC","Inner Regional Australia",8,0,0
"2024","VIC","Inner Regional Australia",1,0,0
"2024","VIC","Inner Regional Australia",1,0,0
"2023","NSW","Inner Regional Australia",5,0,2
"2023","NSW","Inner Regional Australia",1508,0,16
"2023","NSW","Inner Regional Australia",2428,0,10
"2023","NSW","Inner Regional Australia",2435,0,7
"2023","NSW","Inner Regional Australia",485,0,1
"2023","VIC","Inner Regional Australia",180,0,0
"2023","VIC","Inner Regional Australia",2125,0,0
"2023","VIC","Inner Regional Australia",820,0,0
"2023","VIC","Inner Regional Australia",708,0,0
"2023","VIC","Inner Regional Australia",10144,0,0
"2023","VIC","Inner Regional Australia",1524,0,0
"2023","VIC","Inner Regional Australia",1015,0,0
"2023","VIC","Inner Regional Australia",16192,0,0
"2023","VIC","Inner Regional Australia",1943,0,0
"2023","VIC","Inner Regional Australia",303,0,0
"2023","VIC","Inner Regional Australia",5052,0,0
"2023","VIC","Inner Regional Australia",437,0,0
"2023","VIC","Inner Regional Australia",725,0,0
"2023","VIC","Inner Regional Australia",7544,0,0
"2023","NSW","Inner Regional Australia",2,0,1
"2023","NSW","Inner Regional Australia",1213,0,5
"2023","NSW","Inner Regional Australia",1894,0,10
"2023","NSW","Inner Regional Australia",2047,0,6
"2023","NSW","Inner Regional Australia",522,0,0
"2023","VIC","Inner Regional Australia",152,0,0
"2023","VIC","Inner Regional Australia",471,0,0
"2023","VIC","Inner Regional Australia",669,0,0
"2023","VIC","Inner Regional Australia",649,0,0
"2023","VIC","Inner Regional Australia",1853,0,0
"2023","VIC","Inner Regional Australia",1215,0,0
"2023","VIC","Inner Regional Australia",954,0,0
"2023","VIC","Inner Regional Australia",3158,0,0
"2023","VIC","Inner Regional Australia",1587,0,0
"2023","VIC","Inner Regional Australia",295,0,0
"2023","VIC","Inner Regional Australia",1492,0,0
"2023","VIC","Inner Regional Australia",405,0,0
"2023","VIC","Inner Regional Australia",820,0,0
"2023","VIC","Inner Regional Australia",1665,0,0
"2023","VIC","Inner Regional Australia",3,0,0
"2023","NSW","Inner Regional Australia",4,0,0
"2023","NSW","Inner Regional Australia",1341,0,4
"2023","NSW","Inner Regional Australia",2088,0,9
"2023","NSW","Inner Regional Australia",2203,0,2
"2023","NSW","Inner Regional Australia",557,0,0
"2023","VIC","Inner Regional Australia",157,0,0
"2023","VIC","Inner Regional Australia",582,0,0
"2023","VIC","Inner Regional Australia",731,0,0
"2023","VIC","Inner Regional Australia",741,0,0
"2023","VIC","Inner Regional Australia",2056,0,0
"2023","VIC","Inner Regional Australia",1408,0,0
"2023","VIC","Inner Regional Australia",1171,0,0
"2023","VIC","Inner Regional Australia",3505,0,0
"2023","VIC","Inner Regional Australia",1764,0,0
"2023","VIC","Inner Regional Australia",546,0,0
"2023","VIC","Inner Regional Australia",1632,0,0
"2023","VIC","Inner Regional Australia",474,0,0
"2023","VIC","Inner Regional Australia",899,0,0
"2023","VIC","Inner Regional Australia",1923,0,0
"2023","VIC","Inner Regional Australia",1,0,0
"2023","NSW","Inner Regional Australia",13,0,0
"2023","NSW","Inner Regional Australia",1505,0,8
"2023","NSW","Inner Regional Australia",2329,0,16
"2023","NSW","Inner Regional Australia",2330,0,7
"2023","NSW","Inner Regional Australia",498,0,0
"2023","VIC","Inner Regional Australia",1,0,0
