"JURISDICTION","LOCATION","AGE_GROUP","FINES","ARRESTS","CHARGES","FINES_log"
"VIC","Inner Regional Australia","17-25",95,0,0,1.9822712330395682
"VIC","Inner Regional Australia","17-25",571,0,0,2.757396028793024
"VIC","Inner Regional Australia","26-39",307,0,0,2.488550716500444
"VIC","Inner Regional Australia","26-39",1951,0,0,3.2904798133306725
"VIC","Inner Regional Australia","40-64",636,0,0,2.80413943233535
"VIC","Inner Regional Australia","40-64",3200,0,0,3.505285674144132
"VIC","Inner Regional Australia","65 and over",242,0,0,2.3856062735983117
"VIC","Inner Regional Australia","65 and over",1473,0,0,3.168497483523032
"VIC","Inner Regional Australia","Unknown",48,0,0,1.6901960800285134
"VIC","Inner Regional Australia","Unknown",120,0,0,2.08278537031645
"VIC","Major Cities of Australia","0-16",0,0,0,0
"VIC","Major Cities of Australia","0-16",0,0,0,0
"VIC","Major Cities of Australia","17-25",2626,0,0,3.41946007278607
"VIC","Major Cities of Australia","17-25",2537,0,0,3.4044916177586857
"VIC","Major Cities of Australia","26-39",10462,0,0,4.019656225319348
"VIC","Major Cities of Australia","26-39",9660,0,0,3.9850220821095346
"VIC","Major Cities of Australia","40-64",17525,0,0,4.243682807357192
"VIC","Major Cities of Australia","40-64",15006,0,0,4.176293882538766
"VIC","Major Cities of Australia","65 and over",5350,0,0,3.7284349509742545
"VIC","Major Cities of Australia","65 and over",4582,0,0,3.6611498572447867
"VIC","Major Cities of Australia","Unknown",845,0,0,2.927370363039023
"VIC","Major Cities of Australia","Unknown",653,0,0,2.815577748324267
"VIC","Outer Regional Australia","0-16",0,0,0,0
"VIC","Outer Regional Australia","0-16",0,0,0,0
"VIC","Outer Regional Australia","17-25",1,0,0,0.30102999566398114
"VIC","Outer Regional Australia","17-25",97,0,0,1.9912260756924949
"VIC","Outer Regional Australia","26-39",13,0,0,1.1461280356782377
"VIC","Outer Regional Australia","26-39",322,0,0,2.5092025223311025
"VIC","Outer Regional Australia","40-64",16,0,0,1.2304489213782739
"VIC","Outer Regional Australia","40-64",543,0,0,2.7355988996981795
"VIC","Outer Regional Australia","65 and over",3,0,0,0.6020599913279623
"VIC","Outer Regional Australia","65 and over",268,0,0,2.4297522800024076
"VIC","Outer Regional Australia","Unknown",3,0,0,0.6020599913279623
"VIC","Outer Regional Australia","Unknown",29,0,0,1.4771212547196624
"VIC","Remote Australia","0-16",0,0,0,0
"VIC","Remote Australia","0-16",0,0,0,0
"VIC","Remote Australia","17-25",0,0,0,0
"VIC","Remote Australia","17-25",0,0,0,0
"VIC","Remote Australia","26-39",0,0,0,0
"VIC","Remote Australia","26-39",1,0,0,0.30102999566398114
"VIC","Remote Australia","40-64",0,0,0,0
"VIC","Remote Australia","40-64",2,0,0,0.47712125471966244
"VIC","Remote Australia","65 and over",0,0,0,0
"VIC","Remote Australia","65 and over",1,0,0,0.30102999566398114
"VIC","Remote Australia","Unknown",0,0,0,0
"VIC","Remote Australia","Unknown",0,0,0,0
"VIC","Unknown","0-16",0,0,0,0
"VIC","Unknown","0-16",0,0,0,0
"VIC","Unknown","0-16",2,0,0,0.47712125471966244
"VIC","Unknown","17-25",291,0,0,2.465382851448418
"VIC","Unknown","17-25",0,0,0,0
"VIC","Unknown","17-25",1756,0,0,3.2447717614952944
"VIC","Unknown","26-39",754,0,0,2.877946951629188
"VIC","Unknown","26-39",0,0,0,0
"VIC","Unknown","26-39",3417,0,0,3.533772058384718
"VIC","Unknown","40-64",1006,0,0,3.003029470553618
"VIC","Unknown","40-64",0,0,0,0
"VIC","Unknown","40-64",3944,0,0,3.5960470075454385
"VIC","Unknown","65 and over",255,0,0,2.408239965311849
"VIC","Unknown","65 and over",0,0,0,0
"VIC","Unknown","65 and over",977,0,0,2.9903388547876015
